Blade,Ratchet,Bit,Win %,Wins,Losses,Partidas,Pts Ganados/Combate,Pts Cedidos/Combate,Wilson Score,Arquetipo victoria,Arquetipo derrota
Aero Pegasus,1-50,Rush,60.0,3.0,2.0,5,2.0,1.0,0.230719932208837,⚪ Datos insuficientes,⚪ Datos insuficientes
Aero Pegasus,1-60,Kick,58.33,14.0,10.0,24,1.07,1.3,0.3883433764938864,🔵 Spin finish,🔵 Pierde por spin
Aero Pegasus,1-60,Low Rush,57.14,4.0,3.0,7,0.875,0.5,0.2504542304090258,⚪ Datos insuficientes,⚪ Datos insuficientes
Aero Pegasus,1-60,Point,90.91,10.0,1.0,11,1.7,1.0,0.6226353745137962,🟠 Burst / Over,🔵 Pierde por spin
Aero Pegasus,1-60,Rush,60.0,18.0,12.0,30,1.56,1.42,0.4232005249827383,🟠 Burst / Over,🔵 Pierde por spin
Aero Pegasus,1-70,Kick,68.42,13.0,6.0,19,1.85,2.0,0.4601001017506463,🟠 Burst / Over,🟠 Pierde por burst/over
Aero Pegasus,1-70,Level,60.0,3.0,2.0,5,2.33,1.0,0.230719932208837,⚪ Datos insuficientes,⚪ Datos insuficientes
Aero Pegasus,1-70,Rush,40.0,2.0,3.0,5,1.5,2.0,0.1176182311592532,⚪ Datos insuficientes,⚪ Datos insuficientes
Aero Pegasus,3-60,Jolt,66.67,2.0,1.0,3,1.5,1.0,0.2076549551264878,⚪ Datos insuficientes,⚪ Datos insuficientes
Aero Pegasus,3-60,Kick,56.52,13.0,10.0,23,1.69,1.3,0.3681104930501696,🟠 Burst / Over,🔵 Pierde por spin
Aero Pegasus,3-60,Level,66.67,2.0,1.0,3,2.0,1.0,0.2076549551264878,⚪ Datos insuficientes,⚪ Datos insuficientes
Aero Pegasus,3-60,Low Rush,65.0,13.0,7.0,20,1.46,1.43,0.4328505102194647,🔵 Spin finish,🔵 Pierde por spin
Aero Pegasus,3-60,Point,67.44,29.0,14.0,43,1.72,1.43,0.5251593250655096,🟠 Burst / Over,🔵 Pierde por spin
